RecordNumber,Zipcode,ZipCodeType,City,State,Lat,Long
25782,45236,STANDARD,BLUE ASH,OH,39.09,-84.51
25783,45236,STANDARD,DEER PARK,OH,39.09,-84.51
25784,45236,STANDARD,READING,OH,39.09,-84.51
25785,45236,STANDARD,SILVERTON,OH,39.09,-84.51
25786,45236,STANDARD,TAFT,OH,39.09,-84.51
25787,45236,STANDARD,KENWOOD,OH,39.09,-84.51
25788,45236,STANDARD,ROSSMOYNE,OH,39.09,-84.51
25789,45236,STANDARD,SYCAMORE TWP,OH,39.09,-84.51
25790,45237,STANDARD,CINCINNATI,OH,39.09,-84.51
25791,45237,STANDARD,AMBERLEY,OH,39.09,-84.51
25792,45237,STANDARD,BOND HILL,OH,39.09,-84.51
25793,45237,STANDARD,GOLF MANOR,OH,39.09,-84.51
25794,45237,STANDARD,LOSANTIVILLE,OH,39.09,-84.51
25795,45237,STANDARD,ROSELAWN,OH,39.09,-84.51
25796,45238,STANDARD,CINCINNATI,OH,39.09,-84.51
25797,45238,STANDARD,COVEDALE,OH,39.09,-84.51
25798,45238,STANDARD,DEL FAIR,OH,39.09,-84.51
25799,45238,STANDARD,DELHI,OH,39.09,-84.51
25800,45239,STANDARD,CINCINNATI,OH,39.09,-84.51
25801,45239,STANDARD,COLERAIN TOWNSHIP,OH,39.09,-84.51
25802,45239,STANDARD,COLERAIN TWP,OH,39.09,-84.51
25803,45239,STANDARD,GROESBECK,OH,39.09,-84.51
25804,45239,STANDARD,N COLLEGE HL,OH,39.09,-84.51
25805,45239,STANDARD,NORTH COLLEGE HILL,OH,39.09,-84.51
25806,45239,STANDARD,BROOKWOOD,OH,39.09,-84.51
25807,45239,STANDARD,WHITE OAK,OH,39.09,-84.51
25808,45240,STANDARD,CINCINNATI,OH,39.09,-84.51
25809,45240,STANDARD,PARKDALE,OH,39.09,-84.51
25810,45240,STANDARD,FOREST PARK,OH,39.09,-84.51
25811,45240,STANDARD,PLEASANT RUN FARMS,OH,39.09,-84.51
25812,45241,STANDARD,CINCINNATI,OH,39.09,-84.51
25813,45241,STANDARD,BLUE ASH,OH,39.09,-84.51
25814,45241,STANDARD,SHARONVILLE,OH,39.09,-84.51
25815,45241,STANDARD,EVENDALE,OH,39.09,-84.51
25816,45242,STANDARD,CINCINNATI,OH,39.09,-84.51
25817,45242,STANDARD,BLUE ASH,OH,39.09,-84.51
25818,45242,STANDARD,MONTGOMERY,OH,39.09,-84.51
25819,45242,STANDARD,HAZELWOOD,OH,39.09,-84.51
25820,45242,STANDARD,SYCAMORE TWP,OH,39.09,-84.51
25821,45243,STANDARD,CINCINNATI,OH,39.09,-84.51
25822,45243,STANDARD,COLUMBIA TOWNSHIP,OH,39.09,-84.51
25823,45243,STANDARD,COLUMBIA TWP,OH,39.09,-84.51
25824,45243,STANDARD,MADEIRA,OH,39.09,-84.51
25825,45243,STANDARD,INDIAN HILL,OH,39.09,-84.51
25826,45244,STANDARD,CINCINNATI,OH,39.09,-84.51
25827,45244,STANDARD,ANDERSON,OH,39.09,-84.51
25828,45244,STANDARD,NEWTOWN,OH,39.09,-84.51
25829,45244,STANDARD,MOUNT CARMEL,OH,39.09,-84.51
25830,45244,STANDARD,SHADEMORE,OH,39.09,-84.51
25831,45245,STANDARD,CINCINNATI,OH,39.09,-84.51
